,productsListId,name,productName,url,stock,priceWithGST,createdAt,companyName,runtime
0,1,Raspberry Pi 4 Model B with 2 GB RAM,RPI 4 2gb,https://robu.in/product/raspberry-pi-4-model-b-with-2-gb-ram/,421,4549,27-04-2024,ROBU,1
1,2,Raspberry Pi 4 Model-B with 4 GB RAM,RPI 4 4gb,https://robu.in/product/raspberry-pi-4-model-b-with-4-gb-ram/,28,5298,27-04-2024,ROBU,1
2,3,Raspberry Pi 4 Model-B with 8 GB RAM,RPI 4 8gb,https://robu.in/product/raspberry-pi-4-model-b-with-8-gb-ram/,28,7199,27-04-2024,ROBU,1
3,4,SanDisk Micro SD/SDHC 16GB Class 10 Memory Card,SD Card 16gb,https://robu.in/product/sandisk-micro-sd-sdhc-16gb-class-10-memory-card-upto-98mb-s-speed/,0,439,27-04-2024,ROBU,1
4,5,SanDisk Micro SD/SDHC 32GB Class 10 Memory Card,SD Card 32gb,https://robu.in/product/sandisk-micro-sd-sdhc-32gb-class-10-memory-card-with-adapter/,13,385,27-04-2024,ROBU,1
5,6,,Raspberry Pi 400 Unit,https://robu.in/product/raspberry-pi-400-personal-computer-us-layout-unit-only/,0,1399,27-04-2024,ROBU,1
6,7,BeagleBone Black REV C,BeagleBone Black Rev C (4GB Flash Memory),https://robu.in/product/beaglebone-black-rev-c/,136,5893,27-04-2024,ROBU,1
7,8,Official Raspberry Pi 400 Personal Keyboard Computer Kit- US Layout,Raspberry Pi 400 Official Kit,https://robu.in/product/raspberry-pi-400-personal-keyboard-computer-kit-us-layout/,0,9799,27-04-2024,ROBU,1
8,9,"Raspberry Pi 3 Model B+ BCM2837B0 SoC, IoT, PoE Enabled",Raspberry Pi 3B+,https://robu.in/product/raspberry-pi-3-model-b-bcm2837b0-soc-iot-poe-enabled/,0,3679,27-04-2024,ROBU,1
9,950,Arduino Tiny Machine Learning Kit AKX00028,Arduino IOT Bundle,https://robu.in/product/arduino-tiny-machine-learning-kit/,92,5299,27-04-2024,ROBU,1
10,10,Arduino Tiny Machine Learning Kit AKX00028,Arduino Tiny Machine Learning Kit,https://robu.in/product/arduino-tiny-machine-learning-kit/,92,5299,27-04-2024,ROBU,1
11,12,R307 Optical Fingerprint Reader Sensor Module,R307 Optical Fingerprint Sensor Module,https://robu.in/product/r307-optical-fingerprint-reader-module-sensor/,2063,842,27-04-2024,ROBU,1
12,13,FlySky CT6B 2.4GHz 6CH Transmitter with FS-R6B Receiver,Fly Sky FS-CT6B 6ch 2.4GHz Transmitter & Receiver,https://robu.in/product/ct6b-flysky-2-4ghz-6ch-transmitter-wfs-r6b-receiver-mode-2/,62,2535,27-04-2024,ROBU,1
13,14,APM 2.8 Flight Controller with Built-in Compass,APM 2.8 Flight Controller,https://robu.in/product/apm-2-8-multicopter-flight-controller-2-5-2-6-upgraded-built-compass/,0,3929,27-04-2024,ROBU,1
